Date,Open,High,Low,Close,Adj Close,Volume
2017-08-07,70.129997,70.709999,69.959999,70.610001,69.777626,3453500
2017-08-14,71.099998,72.070000,69.580002,70.070000,69.243996,15023300
2017-08-21,70.169998,70.739998,69.330002,69.779999,69.104668,11801700
2017-08-28,69.980003,71.230003,69.239998,70.830002,70.144516,12812800
2017-09-04,70.570000,71.800003,69.879997,71.099998,70.411903,8273900
2017-09-11,71.720001,73.000000,71.209999,71.820000,71.124924,16556000
2017-09-18,72.129997,72.839996,71.809998,72.059998,71.362610,12705000
2017-09-25,71.910004,72.650002,71.040001,72.540001,71.837967,11594900
2017-10-02,72.510002,73.830002,72.220001,73.800003,73.085770,14887600
2017-10-09,73.910004,74.769997,73.150002,74.379997,73.660156,10625400
2017-10-16,74.440002,74.820000,73.419998,74.800003,74.076096,9216000
2017-10-23,74.980003,75.510002,74.000000,75.389999,74.660385,15404300
2017-10-30,75.320000,76.510002,70.529999,74.269997,73.551216,28495600
2017-11-06,74.110001,75.290001,73.419998,74.260002,73.541321,13631100
2017-11-13,74.000000,75.769997,72.879997,72.910004,72.204384,15374900
2017-11-20,72.739998,72.910004,71.480003,72.269997,71.713280,14504900
2017-11-27,72.230003,73.230003,70.760002,71.360001,70.810287,19229100
2017-12-04,71.650002,72.830002,69.690002,71.820000,71.266739,21609300
2017-12-11,71.650002,72.790001,70.940002,72.080002,71.524742,22944900
2017-12-18,72.370003,73.860001,71.370003,71.699997,71.147667,19661000
2017-12-25,71.559998,71.919998,70.949997,71.019997,70.472900,8804700
2018-01-01,71.160004,73.589996,70.540001,73.300003,72.735344,13743200
2018-01-08,73.160004,74.849998,73.010002,74.559998,73.985641,17607100
2018-01-15,75.449997,77.379997,74.419998,77.290001,76.694611,16367700
2018-01-22,77.389999,78.949997,77.190002,78.430000,77.825821,15399200
2018-01-29,78.050003,78.739998,75.699997,75.720001,75.136703,17148700
2018-02-05,75.650002,79.279999,71.949997,76.290001,75.702309,31474600
2018-02-12,76.510002,81.870003,76.419998,80.949997,80.326408,22688500
2018-02-19,80.690002,83.559998,80.610001,82.529999,81.894234,15419300
2018-02-26,83.309998,83.790001,79.519997,81.279999,80.852180,15198500
2018-03-05,80.730003,84.949997,80.570000,84.709999,84.264130,14483600
2018-03-12,84.620003,85.099998,83.449997,84.599998,84.154709,16538500
2018-03-19,84.370003,84.760002,79.199997,79.260002,78.842819,18719600
2018-03-26,80.660004,82.739998,79.339996,80.500000,80.076286,15535700
2018-04-02,80.459999,81.480003,78.459999,79.070000,78.653816,18313000
2018-04-09,79.430000,82.230003,78.870003,80.820000,80.394608,15372100
2018-04-16,81.489998,83.239998,81.000000,81.769997,81.339600,13630000
2018-04-23,81.980003,82.680000,79.910004,81.620003,81.190399,13241700
2018-04-30,82.010002,82.610001,80.080002,82.169998,81.737503,15094500
2018-05-07,78.730003,78.879997,74.760002,76.580002,76.176926,30640700
2018-05-14,76.370003,76.830002,74.970001,76.040001,75.639771,16180300
2018-05-21,76.320000,76.809998,74.860001,75.779999,75.381126,14519100
2018-05-28,75.470001,77.220001,73.970001,76.870003,76.870003,16661200
2018-06-04,76.860001,78.199997,75.940002,77.110001,77.110001,13752700
2018-06-11,77.070000,80.750000,76.610001,80.699997,80.699997,21826700
2018-06-18,79.889999,80.349998,77.250000,78.699997,78.699997,19203900
2018-06-25,78.410004,80.010002,77.349998,78.989998,78.989998,17728800
2018-07-02,78.570000,80.739998,78.300003,80.559998,80.559998,9980700
2018-07-09,80.760002,83.349998,80.250000,81.709999,81.709999,15125800
2018-07-16,81.779999,82.989998,81.279999,82.239998,82.239998,12259800
2018-07-23,82.139999,83.300003,80.989998,81.559998,81.559998,11903300
2018-07-30,81.529999,82.290001,74.830002,77.820000,77.820000,27675600
2018-08-06,77.769997,78.830002,75.360001,75.559998,75.559998,14944300
2018-08-10,75.970001,76.250000,75.360001,75.559998,75.559998,2591893
